URL,Name,Cost,Thương hiệu,Bảo hành,Màu sắc,Series laptop,Part-number,Thế hệ CPU,CPU,Chip đồ họa,RAM,Màn hình,Lưu trữ,Số cổng lưu trữ tối đa,Kiểu khe M.2 hỗ trợ,Cổng xuất hình,Cổng kết nối,Kết nối không dây,Bàn phím,Hệ điều hành,Kích thước,Pin,Khối lượng,Bảo mật,Đèn LED trên máy,Phụ kiện đi kèm,Tính năng,Mic,Ổ đĩa quang,Mô tả bảo hành
https://phongvu.vn//may-tinh-xach-tay-laptop-asus-x407ma-bv043t-n4000-vang-dong-s1805439.html,Laptop ASUS VivoBook X407MA-BV043T (14" HD/N4000/4GB/1TB HDD/UHD 600/Win10/1.5 kg),6.390.000đ,ASUS,24,Vàng đồng,VivoBook,BV043T,"Celeron , Intel Celeron N","Intel Celeron N4000 ( 1.1 GHz - 2.6 GHz / 4MB / 2 nhân, 2 luồng )",Intel UHD Graphics 600,1 x 4GB  DDR4  2400MHz ( 1 Khe cắm / Hỗ trợ tối đa 8GB ),"14"" ( 1366 x 768 ) HD  không cảm ứng , HD webcam",1TB HDD 5400RPM,"1 x 2.5"" SATA , 1 x M.2 SATA",M.2 SATA,1 x HDMI,", 1 x USB 3.0 , 1 x USB 2.0 , 1 x micro SD card slot","WiFi 802.11n , Bluetooth 4.0","thường , không phím số , không đèn",Windows 10 Home SL 64-bit,32.8 x 24.6 x 2.19 cm,"3 cell  33 Wh , Pin liền",1.5 kg,Vân tay,không đèn,,,,,
https://phongvu.vn//may-tinh-xach-tay-laptop-asus-vivobook-e210ma-gj083t-celeron-n4020-den-s201000020.html,Laptop ASUS Vivobook E210MA GJ083T ( 11.6" HD/Intel Celeron N4020/4GB/128GB SSD/Windows 10 Home SL 64-bit/1kg),5.990.000đ,ASUS,24,Xanh,VivoBook,GJ083T,"Celeron , Intel Celeron N","Intel Celeron N4020 ( 1.10 GHz - 2.80 GHz / 4MB / 2 nhân, 2 luồng )",Intel UHD Graphics 600,1 x 4GB Onboard  DDR4  2400MHz  Không nâng cấp được ),"11.6"" ( 1366 x 768 ) HD  không cảm ứng , Màn hình chống lóa , VGA webcam",128GB eMMC /,1 x M.2 NVMe,M.2 NVMe,1 x HDMI,"1 x USB Type C , 1 x USB 3.2 , 1 x USB 2.0 , 1 x micro SD card slot","WiFi 802.11ac , Bluetooth 4.2","thường , không phím số , không đèn",Windows 10 Home SL 64-bit,27.91 x 19.12 x 1.69 cm,"2 cell  38 Wh , Pin liền",1 kg,,không đèn,"Adapter, cáp sạc, tài liệu",Phím số ảo tích hợp trên touchpadMàn hình gập 180 độ,,,
https://phongvu.vn//may-tinh-xach-tay-laptop-acer-aspire-3-a31534c38y-nxhe3sv00g-celeron-n4020-den-s200601143.html,Laptop ACER Aspire 3 A315-34-C38Y NX.HE3SV.00G ( 15.6" HD/Intel Celeron N4020/4GB/256GB SSD/Windows 10 Home 64-bit/1.7kg),6.990.000đ,ACER,12,Đen,Aspire 3,NX.HE3SV.00G,"Celeron , Intel Celeron N","Intel Celeron N4020 ( 1.10 GHz - 2.80 GHz / 4MB / 2 nhân, 2 luồng )",Intel UHD Graphics 600,1 x 4GB Onboard  DDR4  2666MHz ( 1 Khe cắm / Hỗ trợ tối đa 8GB ),"15.6"" ( 1280 x 720 ) HD  không cảm ứng , VGA webcam",256GB SSD M.2 NVMe /,"1 x 2.5"" SATA , 1 x M.2 NVMe",M.2 NVMe,1 x HDMI,", 1 x USB 3.1 , 2 x USB 2.0 , LAN 1 Gb/s","WiFi 802.11ac , Bluetooth 4.2","thường , có phím số , không đèn",Windows 10 Home 64-bit,36.34 x 24.75 x 1.99 cm,"2 cell  37 Wh , Pin liền",1.7 kg,,không đèn,Cáp + Sạc,,,,
https://phongvu.vn//may-tinh-xach-tay-laptop-asus-vivobook-x509ma-br270t-n4020-bac-s201200081.html,Laptop ASUS Vivobook X509MA BR270T ( 15.6" HD/Intel Celeron N4020/4GB/256GB SSD/Windows 10 Home SL 64-bit/1.6kg),6.990.000đ,ASUS,24,Bạc,VivoBook,BR270T,"Celeron , Intel Celeron N","Intel Celeron N4020 ( 1.10 GHz - 2.80 GHz / 4MB / 2 nhân, 2 luồng )",Intel UHD Graphics 600,1 x 4GB  DDR4  2666MHz ( 1 Khe cắm / Hỗ trợ tối đa 16GB ),"15.6"" ( 1366 x 768 ) HD  không cảm ứng , Màn hình chống lóa , VGA webcam",256GB SSD M.2 NVMe /,1 x M.2 NVMe,M.2 NVMe,1 x HDMI,"1 x USB Type C , 1 x USB 3.1 , 2 x USB 2.0 , 1 x micro SD card slot","WiFi 802.11ac , Bluetooth 5.0","thường , có phím số , không đèn",Windows 10 Home SL 64-bit,36.02 x 23.49 x 2.29 cm,"2 cell  32 Wh , Pin liền",1.6 kg,Vân tay,không đèn,,,,,
https://phongvu.vn//may-tinh-xach-tay-laptop-acer-aspire-3-a31534p3lc-nxhe3sv004-n5000-den-s191000366.html,Laptop Acer Aspire 3 A315-34-P3LC (NX.HE3SV.004) (15" HD/Pentium N5000/4GB/256GB SSD/UHD 605/Win10/1.7 kg),8.090.000đ,ACER,12,Đen,Aspire 3,NX.HE3SV.004,"Pentium , Intel Pentium Silver","Intel Pentium Silver N5000 ( 1.1 GHz - 2.7 GHz / 4MB / 4 nhân, 4 luồng )",Intel UHD Graphics 605,1 x 4GB Onboard  DDR4  2133MHz ( 1 Khe cắm / Hỗ trợ tối đa 8GB ),"15.6"" ( 1280 x 720 ) HD  không cảm ứng , VGA webcam",256GB SSD M.2 NVMe /,"1 x 2.5"" SATA , 1 x M.2 NVMe",M.2 NVMe,1 x HDMI,", 1 x USB 3.1 , 2 x USB 2.0 , LAN 1 Gb/s","WiFi 802.11ac , Bluetooth 5.0","thường , có phím số , không đèn",Windows 10 Home 64-bit,36.34 x 24.75 x 1.99 cm,2 cell  37 Wh,1.7 kg,,không đèn,,,Có,,
https://phongvu.vn//may-tinh-xach-tay-laptop-lenovo-ideapad-330-14ast-81d5002bvn-amd-a9-9425-den-s1808258.html,Laptop Lenovo Ideapad 330-14AST (81D5002BVN) (14" HD/A9-9420/4GB/500GB HDD/Radeon R5/Win10/2.1 kg),8.290.000đ,Lenovo,12,Đen,Ideapad,81D5002BVN,"A9 , AMD A-series","AMD A9-9420 ( 3.0 GHz - 3.6 GHz / 1MB / 2 nhân, 2 luồng )",AMD Radeon R5 Graphics,1 x 4GB  DDR4  2666MHz ( 1 Khe cắm,"14"" ( 1366 x 768 ) HD  không cảm ứng , HD webcam",500GB HDD 5400RPM,1 x 2.5" SATA,,1 x HDMI,", 1 x USB 3.0 , 1 x USB 2.0 , 1 x SD card slot , LAN 100 Mbps","WiFi 802.11ac , Bluetooth 4.2","thường , không phím số , không đèn",Windows 10 Home SL 64-bit,34 x 25 x 2.3 cm,"2 cell  30 Wh , Pin liền",2.1 kg,,không đèn,,,,,
https://phongvu.vn//may-tinh-xach-tay-laptop-hp-15sdu0059tu-6zf65pa-pentium-n5000-bac-s191200287.html,Laptop HP 15s-du0059TU (6ZF65PA) (15" HD/Pentium N5000/4GB/1TB HDD/UHD 605/Win10/1.7kg),7.990.000đ,HP,12,Bạc,,6ZF65PA,"Pentium , Intel Pentium Silver","Intel Pentium Silver N5000 ( 1.1 GHz - 2.7 GHz / 4MB / 4 nhân, 4 luồng )",Intel UHD Graphics 605,1 x 4GB  DDR4  2133MHz ( 1 Khe cắm / Hỗ trợ tối đa 8GB ),"15.6"" ( 1366 x 768 ) HD  SVA  không cảm ứng , Màn hình chống lóa , HD webcam",1TB HDD 5400RPM,1 x 2.5" SATA,,1 x HDMI,"1 x USB Type C , 2 x USB 3.1 , 1 x SD card slot , LAN 1 Gb/s","WiFi 802.11ac , Bluetooth 4.2","thường , có phím số , không đèn",Windows 10 Home SL 64-bit,35.85 x 24.2 x 1.99 cm,"3 cell  41 Wh , Pin liền",1.7 kg,,không đèn,"Sạc, sách HDSD, Extend USB DVD",,,,
https://phongvu.vn//may-tinh-xach-tay-laptop-asus-vivobook-x509ma-br337t-n5030-bac-s201101147.html,Laptop Asus Vivobook X509MA-BR337T (N5030) (Bạc),7.990.000đ,ASUS,24,Bạc,VivoBook,BR337T,"Pentium , Intel Pentium Silver","Intel Pentium Silver N5030 ( 1.1 GHz - 3.1 GHz / 4MB / 4 nhân, 4 luồng )",Intel UHD Graphics 605,1 x 4GB  DDR4  2400MHz  Không nâng cấp được ),"15.6"" ( 1366 x 768 ) HD  TN  không cảm ứng , HD webcam",256GB SSD M.2 NVMe /,1 x M.2 NVMe,M.2 NVMe,1 x HDMI,"1 x USB Type C , 1 x USB 3.2 , 1 x micro SD card slot","WiFi 802.11ac , Bluetooth 4.1","thường , có phím số , không đèn",Windows 10 Home 64-bit,32.50 x 21.60 x 2.31 cm,"2 cell  32 Wh , Pin liền",1.9 kg,,không đèn,,,,,
https://phongvu.vn//may-tinh-xach-tay-laptop-acer-swift-1-sf114-32-c7u5-nx-gzjsv-003-n4000-s18120305.html,Laptop Acer Swift 1 SF114-32-C7U5 (NX.GZJSV.003) (14" FHD/N4000/4GB/64GB eMMC/UHD 600/Win10/1.4 kg),8.999.000đ,ACER,12,Xanh,Swift 1,NX.GZJSV.003,"Celeron , Intel Celeron N","Intel Celeron N4000 ( 1.1 GHz - 2.6 GHz / 4MB / 2 nhân, 2 luồng )",Intel UHD Graphics 600,1 x 4GB Onboard  DDR4  Không nâng cấp được ),"14"" ( 1920 x 1080 ) Full HD  IPS  không cảm ứng , HD webcam",64GB eMMC /,1 x M.2 SATA,M.2 SATA,1 x HDMI,"1 x USB Type C , 2 x USB 3.0 , 1 x USB 2.0 , 1 x SD card slot","WiFi 802.11ac , Bluetooth 5.0","thường , không phím số , không đèn",Windows 10 Home 64-bit,323 x 228 x 14.95 mm,"3 cell  53 Wh , Pin liền",1.4 kg,Vân tay,không đèn,,,,,
https://phongvu.vn//may-tinh-xach-tay-laptop-asus-d409da-ek498t-amd-ryzen-3-3250u-bac-s200801166.html,Laptop ASUS D409DA EK498T ( 14" Full HD/AMD Ryzen 3 3250U/4GB/1TB HDD/Windows 10 Home 64-bit/1.5kg),9.990.000đ,ASUS,24,Bạc,,EK498T,"Ryzen 3 , AMD Ryzen thế hệ thứ 3","AMD Ryzen 3 3250U ( 2.6 GHz - 3.5 GHz / 4MB / 2 nhân, 4 luồng )",AMD Radeon Graphics,1 x 4GB Onboard  DDR4  2400MHz ( 1 Khe cắm / Hỗ trợ tối đa 12GB ),"14"" ( 1920 x 1080 ) Full HD  TN  không cảm ứng , HD webcam",1TB HDD 5400RPM,"1 x 2.5"" SATA , 1 x M.2 NVMe",M.2 NVMe,1 x HDMI,"1 x USB Type C , 1 x USB 3.0 , 2 x USB 2.0 , 1 x micro SD card slot","WiFi 802.11ac , Bluetooth 4.2","thường , không phím số , không đèn",Windows 10 Home 64-bit,32.5 x 21.6 x 2.29 cm,"2 cell  32 Wh , Pin liền",1.5 kg,Vân tay,không đèn,"Sạc, Hướng dẫn sử dụng",,,,
